Dates,Evapo-Transpiration (mm)
"02-Jun-2019",3.1214646238
"03-Jun-2019",2.7870072662
"04-Jun-2019",3.5901443267
"05-Jun-2019",4.2464575915
"06-Jun-2019",3.9573359306
"07-Jun-2019",3.7265726535
"08-Jun-2019",3.4245687407
"09-Jun-2019",2.6403364217
"10-Jun-2019",2.7207883395
"11-Jun-2019",0.548761097
"12-Jun-2019",2.0850298076
"13-Jun-2019",1.5359110397
"14-Jun-2019",3.0690916435
"15-Jun-2019",2.9229375082
"16-Jun-2019",3.021685185
"17-Jun-2019",2.6109979413
"18-Jun-2019",2.8533370842
"19-Jun-2019",2.4662772312
"20-Jun-2019",1.0857501974
"21-Jun-2019",0.7997338447
"22-Jun-2019",1.8777004381
"23-Jun-2019",2.0303335746
"24-Jun-2019",2.7832822933
"25-Jun-2019",2.6489688696
"26-Jun-2019",3.4627916355
"27-Jun-2019",2.8501141895
"28-Jun-2019",2.8356047054
"29-Jun-2019",2.0905695467
"30-Jun-2019",2.0437864153
"01-Jul-2019",3.6921648241
"02-Jul-2019",0.8830771424
"03-Jul-2019",2.7065863527
"04-Jul-2019",3.5600661283
"05-Jul-2019",2.7834390279
"06-Jul-2019",2.7607792928
"07-Jul-2019",3.4174301791
"08-Jul-2019",3.4847607898
"09-Jul-2019",2.9109039147
"10-Jul-2019",3.300865722
"11-Jul-2019",2.8973136544
"12-Jul-2019",2.9764652772
"13-Jul-2019",3.0167136532
"14-Jul-2019",1.9098098324
"15-Jul-2019",1.6241066246
"16-Jul-2019",1.5878122644
"17-Jul-2019",2.9164384826
"18-Jul-2019",2.4851147423
"19-Jul-2019",1.9685479601
"20-Jul-2019",1.8047403355
"21-Jul-2019",1.4173643769
"22-Jul-2019",1.1855916634
"23-Jul-2019",2.1997760651
"24-Jul-2019",2.355022765
"25-Jul-2019",2.3162195124
"26-Jul-2019",2.0510493529
"27-Jul-2019",3.3544542763
"28-Jul-2019",2.7302143947
"29-Jul-2019",2.7445148279
"30-Jul-2019",2.7955108664
"31-Jul-2019",3.8698229831
"01-Aug-2019",4.2132616321
"02-Aug-2019",3.1624035619
"03-Aug-2019",3.2400502633
"04-Aug-2019",3.279822159
"05-Aug-2019",2.8144695088
"06-Aug-2019",1.384731611
"07-Aug-2019",1.5050301631
"08-Aug-2019",2.1229937211
"09-Aug-2019",1.6493853084
"10-Aug-2019",2.8690187191
"11-Aug-2019",4.0874625674
"12-Aug-2019",2.8402737555
"13-Aug-2019",2.2844163609
"14-Aug-2019",1.7476464413
"15-Aug-2019",3.2959969129
"16-Aug-2019",2.4531446307
"17-Aug-2019",3.1313440417
"18-Aug-2019",2.9193157424
"19-Aug-2019",2.9300510298
"20-Aug-2019",2.9636522771
"21-Aug-2019",2.9460209832
"22-Aug-2019",3.1499536362
"23-Aug-2019",3.3907541561
"24-Aug-2019",2.3089325786
"25-Aug-2019",4.2576630944
