Dates,Evapo-Transpiration (mm)
"21-Mar-2020",0.1679998873
"22-Mar-2020",0.1620777814
"23-Mar-2020",0.1532192051
"24-Mar-2020",0.1334361276
"25-Mar-2020",0.3006344649
"26-Mar-2020",0.6536271197
"27-Mar-2020",0.6398376277
"28-Mar-2020",0.6036706064
"29-Mar-2020",0.5595935867
"30-Mar-2020",0.539199438
"31-Mar-2020",0.514463011
"01-Apr-2020",0.487566511
"02-Apr-2020",0.4534614779
"03-Apr-2020",0.4510322659
"04-Apr-2020",0.4130673071
"05-Apr-2020",1.0747802826
"06-Apr-2020",2.9387080828
"07-Apr-2020",1.1244250062
"08-Apr-2020",2.5271075381
"09-Apr-2020",0.9925353117
"10-Apr-2020",1.2124263386
"11-Apr-2020",1.162803516
"12-Apr-2020",0.9586426361
"13-Apr-2020",0.7976892241
"14-Apr-2020",0.5765356895
"15-Apr-2020",0.5282691296
"16-Apr-2020",0.6709165076
"17-Apr-2020",1.0458036381
"18-Apr-2020",2.1520125159
"19-Apr-2020",1.3815411795
"20-Apr-2020",1.561094789
"21-Apr-2020",1.3081185639
"22-Apr-2020",5.2065679641
"23-Apr-2020",3.8238671833
"24-Apr-2020",4.3127051339
"25-Apr-2020",3.7142763207
"26-Apr-2020",4.9096312781
"27-Apr-2020",2.7229352664
"28-Apr-2020",2.4222788031
"29-Apr-2020",3.7273217188
"30-Apr-2020",2.2788978974
"01-May-2020",2.0192569981
"02-May-2020",4.2531833455
"03-May-2020",5.1535738187
"04-May-2020",4.1232454947
"05-May-2020",1.9098975983
"06-May-2020",1.5614298283
"07-May-2020",1.1550416501
"08-May-2020",2.4306178042
"09-May-2020",4.3146812621
"10-May-2020",5.0178265694
"11-May-2020",5.1193493433
"12-May-2020",3.958623525
"13-May-2020",2.4933510152
"14-May-2020",5.1432643757
"15-May-2020",3.8313849482
"16-May-2020",2.3678801032
"17-May-2020",2.8287951375
"18-May-2020",3.09313605
"19-May-2020",1.9355357648
"20-May-2020",2.2208477088
"21-May-2020",2.5581164531
"22-May-2020",3.6707974283
"23-May-2020",4.2855548226
"24-May-2020",3.819143378
"25-May-2020",3.7037664931
"26-May-2020",4.4465004689
"27-May-2020",3.3378365104
"28-May-2020",4.1696258052
"29-May-2020",3.6413855899
"30-May-2020",2.7224930608
"31-May-2020",1.3054443495
"01-Jun-2020",2.6107894979
"02-Jun-2020",1.8996875469
"03-Jun-2020",2.2236043579
"04-Jun-2020",3.0873546115
"05-Jun-2020",2.8458705258
"06-Jun-2020",2.3525058196
"07-Jun-2020",2.5465734379
"08-Jun-2020",2.7868648092
"09-Jun-2020",2.4322720894
"10-Jun-2020",2.5585471514
"11-Jun-2020",2.089439442
"12-Jun-2020",2.2953761352
"13-Jun-2020",2.4057379984
"14-Jun-2020",0.5593997048
"15-Jun-2020",2.529713154
"16-Jun-2020",1.9649853525
"17-Jun-2020",2.899935123
"18-Jun-2020",2.7775302383
"19-Jun-2020",2.6424422462
"20-Jun-2020",2.823307438
"21-Jun-2020",3.0604277892
"22-Jun-2020",2.7934242067
"23-Jun-2020",2.6621646693
"24-Jun-2020",3.562283691
"25-Jun-2020",3.7476527026
"26-Jun-2020",2.8102609299
"27-Jun-2020",2.0110379767
"28-Jun-2020",3.1095057287
"02-Jul-2020",1.6483310122
"03-Jul-2020",1.6204793205
"06-Jul-2020",2.2891690298
"19-Jul-2020",2.421882016
"20-Jul-2020",3.5971914025
"21-Jul-2020",3.8058761877
"22-Jul-2020",3.3284803021
"23-Jul-2020",3.4086303285
"24-Jul-2020",3.0747144431
"25-Jul-2020",3.8116914162
"26-Jul-2020",3.6547054417
"27-Jul-2020",2.83121269
"28-Jul-2020",3.5257831912
"29-Jul-2020",1.8696006957
"30-Jul-2020",3.9113778568
"31-Jul-2020",2.8774633492
"01-Aug-2020",2.3562762619
"02-Aug-2020",3.0820102784
"03-Aug-2020",2.1952459311
"04-Aug-2020",1.4698007524
"05-Aug-2020",1.191794136
"06-Aug-2020",1.5114832177
