Dates,Current Year Level (m),Last Year Level (m),Last 10 Year Average Level (m),Full Reservoir Level (m),Last 10 Year Average Storage (BCM),Last Year Storage (BCM),Current Year Storage (BCM)
"18-Aug-2004",752.11,740.54,746.0975,752.5,0.56025,0.144,1.113
"19-Aug-2004",752.21,740.48,746.3925,752.5,0.582,0.141,1.126
"20-Aug-2004",752.29,740.42,746.5475,752.5,0.59725,0.138,1.136
"21-Aug-2004",752.4,740.34,746.6975,752.5,0.6125,0.135,1.151
"22-Aug-2004",752.37,740.33,746.7975,752.5,0.62075,0.134,1.147
"23-Aug-2004",752.31,740.7,746.9725,752.5,0.6325,0.152,1.139
"24-Aug-2004",752.23,741.52,747.25,752.5,0.6495,0.194,1.129
"25-Aug-2004",752.18,742.07,747.45,752.5,0.6625,0.224,1.122
"26-Aug-2004",752.11,742.52,747.605,752.5,0.6725,0.25,1.113
"27-Aug-2004",752.03,742.78,747.6925,752.5,0.67825,0.265,1.103
"28-Aug-2004",751.97,742.93,747.72,752.5,0.68225,0.274,1.095
"29-Aug-2004",751.94,743.07,747.74,752.5,0.6855,0.283,1.091
"30-Aug-2004",751.91,743.08,747.765,752.5,0.68525,0.287,1.087
"31-Aug-2004",751.85,743.15,747.8075,752.5,0.6885,0.288,1.083
"01-Sep-2004",751.78,743.15,747.775,752.5,0.686,0.288,1.076
"02-Sep-2004",751.72,743.14,747.75,752.5,0.6825,0.287,1.064
"03-Sep-2004",751.63,743.1,747.6925,752.5,0.6775,0.285,1.053
"04-Sep-2004",751.55,743.07,747.705,752.5,0.67825,0.283,1.043
"05-Sep-2004",751.49,743.05,747.5675,752.5,0.66575,0.282,1.036
"06-Sep-2004",751.44,743.03,747.505,752.5,0.66025,0.281,1.03
"07-Sep-2004",751.4,742.99,747.44,752.5,0.6545,0.278,1.026
"08-Sep-2004",751.36,742.91,747.3725,752.5,0.64825,0.273,1.02
"09-Sep-2004",751.31,742.86,747.3175,752.5,0.643,0.27,1.014
"10-Sep-2004",751.26,742.8,747.265,752.5,0.63825,0.266,1.008
"11-Sep-2004",751.17,742.74,747.2075,752.5,0.63525,0.263,1.008
"12-Sep-2004",751.15,742.69,747.1775,752.5,0.62975,0.26,0.995
"13-Sep-2004",751.1,742.59,747.12,752.5,0.62475,0.254,0.989
"14-Sep-2004",751.09,742.48,747.0625,752.5,0.62,0.248,0.985
"15-Sep-2004",751.06,742.36,747.2525,752.5,0.6165,0.241,0.984
"16-Sep-2004",751.08,742.24,746.9725,752.5,0.6155,0.234,0.987
"17-Sep-2004",751.1,742.12,746.95,752.5,0.61425,0.227,0.989
"18-Sep-2004",751.11,741.94,746.9375,752.5,0.6155,0.22,0.99
"19-Sep-2004",751.11,741.85,746.9525,752.5,0.61825,0.212,0.991
"20-Sep-2004",751.1,741.71,746.9275,752.5,0.61725,0.204,0.989
"21-Sep-2004",751.05,741.86,746.9825,752.5,0.6165,0.196,0.983
"22-Sep-2004",750.99,741.39,746.845,752.5,0.61375,0.187,0.976
"23-Sep-2004",750.97,741.22,746.7925,752.5,0.6095,0.178,0.967
"24-Sep-2004",750.84,741.07,746.7175,752.5,0.6055,0.17,0.959
"25-Sep-2004",750.83,740.92,746.68,752.5,0.605,0.163,0.958
"26-Sep-2004",750.84,740.76,746.625,752.5,0.60275,0.155,0.959
"27-Sep-2004",750.84,740.62,746.7675,752.5,0.605,0.148,0.959
"28-Sep-2004",750.8,740.48,746.5625,752.5,0.60075,0.141,0.955
"29-Sep-2004",750.77,740.33,746.515,752.5,0.59675,0.134,0.951
"30-Sep-2004",750.73,740.19,746.4525,752.5,0.59225,0.127,0.945
"01-Oct-2004",750.68,740.09,746.42,752.5,0.59125,0.122,0.94
"02-Oct-2004",750.78,740.26,746.48,752.5,0.59125,0.13,0.933
"03-Oct-2004",750.75,740.59,746.5375,752.5,0.59775,0.146,0.948
"04-Oct-2004",750.8,740.93,746.61,752.5,0.6015,0.163,0.955
"05-Oct-2004",750.76,741.24,746.6625,752.5,0.60275,0.179,0.95
"06-Oct-2004",750.71,741.62,746.715,752.5,0.6035,0.199,0.943
"07-Oct-2004",750.65,741.98,746.755,752.5,0.60325,0.219,0.936
"08-Oct-2004",750.58,742.19,746.72,752.5,0.59925,0.231,0.928
"09-Oct-2004",750.5,742.37,746.735,752.5,0.59875,0.241,0.92
"10-Oct-2004",750.41,742.49,746.7425,752.5,0.598,0.248,0.91
"11-Oct-2004",750.33,742.57,746.82,752.5,0.60025,0.253,0.901
"12-Oct-2004",750.27,742.64,746.87,752.5,0.603,0.257,0.894
"13-Oct-2004",750.26,742.77,746.9425,752.5,0.60775,0.265,0.893
"14-Oct-2004",750.26,742.93,747.145,752.5,0.6215,0.274,0.893
"15-Oct-2004",750.33,743.04,747.215,752.5,0.64675,0.281,0.901
"16-Oct-2004",750.58,743.12,747.8425,752.5,0.68075,0.286,0.929
"17-Oct-2004",750.7,743.23,748.04,752.5,0.69925,0.293,0.943
"18-Oct-2004",750.76,743.23,748.125,752.5,0.708,0.293,0.95
"19-Oct-2004",751.02,743.18,748.2125,752.5,0.7185,0.289,0.98
"20-Oct-2004",751.15,743.35,748.3575,752.5,0.732,0.302,0.995
"21-Oct-2004",751.19,743.65,748.25,752.5,0.7435,0.319,1
"22-Oct-2004",751.17,743.93,748.605,752.5,0.7525,0.336,0.998
"23-Oct-2004",751.1,744.44,748.755,752.5,0.76325,0.373,0.989
"24-Oct-2004",751.04,744.44,748.7175,752.5,0.75875,0.373,0.982
"25-Oct-2004",750.93,744.55,748.72,752.5,0.75875,0.383,0.972
"26-Oct-2004",750.86,744.65,748.7325,752.5,0.75775,0.388,0.961
"27-Oct-2004",750.67,744.72,748.71,752.5,0.75675,0.39,0.951
"28-Oct-2004",750.69,744.64,748.6625,752.5,0.75075,0.387,0.941
"29-Oct-2004",750.63,744.51,748.535,752.5,0.73975,0.378,0.934
"30-Oct-2004",750.64,744.35,748.3675,752.5,0.72625,0.367,0.935
"31-Oct-2004",750.65,744.19,748.2325,752.5,0.7175,0.356,0.937
"01-Nov-2004",750.67,744.03,748.2125,752.5,0.71125,0.345,0.939
"02-Nov-2004",750.66,743.87,748.14,752.5,0.70525,0.335,0.938
"03-Nov-2004",750.64,743.58,748.0825,752.5,0.702,0.323,0.936
"04-Nov-2004",750.67,743.53,748.0525,752.5,0.6965,0.312,0.932
"05-Nov-2004",750.56,743.39,747.9525,752.5,0.689,0.303,0.926
"06-Nov-2004",750.48,743.39,747.86,752.5,0.68275,0.303,0.918
"07-Nov-2004",750.45,743.11,747.7825,752.5,0.67575,0.286,0.914
"08-Nov-2004",750.43,742.97,747.7925,752.5,0.67975,0.277,0.911
"09-Nov-2004",750.47,742.9,747.82,752.5,0.6835,0.272,0.911
"10-Nov-2004",750.47,742.87,747.805,752.5,0.68375,0.271,0.911
"11-Nov-2004",750.34,742.83,747.7425,752.5,0.6805,0.268,0.906
"12-Nov-2004",750.22,742.74,747.6675,752.5,0.676,0.263,0.901
"13-Nov-2004",750.1,742.61,747.5725,752.5,0.67,0.255,0.896
"14-Nov-2004",750.24,742.49,747.5325,752.5,0.6605,0.248,0.891
"15-Nov-2004",750.28,742.35,747.47,752.5,0.65375,0.241,0.885
"16-Nov-2004",750.12,742.23,747.365,752.5,0.64875,0.233,0.878
"17-Nov-2004",750.05,742.09,747.285,752.5,0.6425,0.225,0.87
"18-Nov-2004",749.98,742.27,747.28,752.5,0.63575,0.217,0.862
"19-Nov-2004",749.9,741.81,747.1025,752.5,0.62825,0.21,0.853
"20-Nov-2004",749.82,741.67,747.01,752.5,0.62075,0.202,0.844
"21-Nov-2004",749.75,741.53,746.9175,752.5,0.61325,0.194,0.837
"22-Nov-2004",749.68,741.38,746.8175,752.5,0.60575,0.187,0.83
"23-Nov-2004",749.63,741.24,746.725,752.5,0.5985,0.179,0.825
"24-Nov-2004",749.59,741.09,746.6325,752.5,0.52375,0.171,0.82
"25-Nov-2004",749.54,740.95,746.5675,752.5,0.5845,0.164,0.815
"26-Nov-2004",749.48,740.81,746.45,752.5,0.5775,0.157,0.809
"27-Nov-2004",749.41,740.67,746.355,752.5,0.57,0.15,0.802
"28-Nov-2004",749.36,740.51,746.255,752.5,0.56275,0.142,0.796
"29-Nov-2004",749.31,740.36,746.1575,752.5,0.55575,0.135,0.791
"30-Nov-2004",749.26,740.19,745.81,752.5,0.549,0.127,0.785
"01-Dec-2004",749.21,740.04,745.9725,752.5,0.543,0.12,0.781
"02-Dec-2004",749.18,739.92,745.8875,752.5,0.53775,0.115,0.778
"03-Dec-2004",749.15,739.8,745.805,752.5,0.53175,0.109,0.774
"04-Dec-2004",749.12,739.69,745.73,752.5,0.526,0.104,0.771
"05-Dec-2004",749.1,739.58,745.655,752.5,0.52175,0.099,0.77
"06-Dec-2004",749.1,739.47,745.57,752.5,0.518,0.095,0.77
"07-Dec-2004",749.1,739.37,745.5325,752.5,0.51375,0.09,0.77
"08-Dec-2004",749.09,739.26,745.4675,752.5,0.50925,0.086,0.768
"09-Dec-2004",749.09,739.16,745.41,752.5,0.5055,0.081,0.768
"10-Dec-2004",749.06,739.08,745.34,752.5,0.50125,0.078,0.765
"11-Dec-2004",749.03,738.99,745.285,752.5,0.497,0.074,0.762
"12-Dec-2004",748.98,738.93,745.2275,752.5,0.49275,0.072,0.758
"13-Dec-2004",748.94,738.92,745.185,752.5,0.48875,0.071,0.753
"14-Dec-2004",748.9,738.86,745.1275,752.5,0.48425,0.068,0.748
"15-Dec-2004",748.85,738.78,745.0625,752.5,0.48,0.066,0.744
"16-Dec-2004",748.79,738.71,744.9975,752.5,0.47525,0.063,0.739
"17-Dec-2004",748.76,738.62,744.935,752.5,0.47025,0.059,0.733
"18-Dec-2004",748.67,738.52,744.85,752.5,0.465,0.055,0.727
"19-Dec-2004",748.62,738.44,744.7825,752.5,0.45975,0.052,0.721
"20-Dec-2004",748.59,738.35,744.715,752.5,0.4555,0.048,0.719
"21-Dec-2004",748.58,738.27,744.6575,752.5,0.452,0.046,0.718
"22-Dec-2004",748.57,738.25,744.6075,752.5,0.4485,0.045,0.717
"23-Dec-2004",748.56,738.28,744.5725,752.5,0.4455,0.046,0.716
"24-Dec-2004",748.55,738.29,744.5275,752.5,0.4425,0.046,0.715
"25-Dec-2004",748.53,738.3,744.4775,752.5,0.4385,0.047,0.713
"26-Dec-2004",748.53,738.3,744.44,752.5,0.43575,0.047,0.713
"27-Dec-2004",748.52,738.31,744.41,752.5,0.43325,0.047,0.712
"28-Dec-2004",748.51,738.34,744.4125,752.5,0.43225,0.048,0.71
"29-Dec-2004",748.51,738.36,744.4175,752.5,0.43125,0.048,0.71
"30-Dec-2004",748.19,738.37,744.3275,752.5,0.43025,0.049,0.709
"31-Dec-2004",748.08,738.38,744.305,752.5,0.43025,0.05,0.708
"01-Jan-2005",748.47,738.4,745.482,752.5,0.5116,0.05,0.707
"02-Jan-2005",748.46,738.39,745.466,752.5,0.511,0.05,0.706
"03-Jan-2005",748.39,738.4,745.45,752.5,0.51,0.05,0.705
"04-Jan-2005",748.42,738.41,745.456,752.5,0.5088,0.051,0.702
"05-Jan-2005",748.34,738.41,745.418,752.5,0.5056,0.051,0.694
"06-Jan-2005",748.26,738.42,745.364,752.5,0.5016,0.051,0.687
"07-Jan-2005",748.18,738.43,745.51,752.5,0.4976,0.052,0.679
"08-Jan-2005",748.09,738.44,745.25,752.5,0.4932,0.052,0.671
"09-Jan-2005",747.99,738.44,745.19,752.5,0.4888,0.052,0.662
"10-Jan-2005",747.9,738.44,745.122,752.5,0.4842,0.052,0.653
"11-Jan-2005",747.85,738.42,745.07,752.5,0.48,0.052,0.644
"12-Jan-2005",747.8,738.42,745.026,752.5,0.4758,0.052,0.635
"13-Jan-2005",747.6,738.46,744.94,752.5,0.4704,0.053,0.626
