,Temperature - (Celsius), Year, Statistics, Longitude, Latitude
308,25.0,2016.0, Sep Average,76.5724,12.4255
309,25.399999618529996,2016.0, Oct Average,76.5724,12.4255
310,24.0,2016.0, Nov Average,76.5724,12.4255
311,23.300001144409,2016.0, Dec Average,76.5724,12.4255
312,22.793432235717773,2017.0, Jan Average,76.5724,12.4255
313,23.993574142456055,2018.0, Jan Average,76.5724,12.4255
314,25.992055892944336,2019.0, Jan Average,76.5724,12.4255
315,26.690185546875,2020.0, Jan Average,76.5724,12.4255
316,26.289682388305664,2021.0, Jan Average,76.5724,12.4255
317,22.88995933532715,2017.0, Feb Average,76.5724,12.4255
318,22.193424224853516,2017.0, Mar Average,76.5724,12.4255
319,22.29447364807129,2017.0, Apr Average,76.5724,12.4255
320,23.694318771362305,2017.0, May Average,76.5724,12.4255
321,23.19240379333496,2017.0, Jun Average,76.5724,12.4255
322,22.793025970458984,2017.0, Jul Average,76.5724,12.4255
323,21.993572235107422,2017.0, Aug Average,76.5724,12.4255
324,21.794797897338867,2017.0, Sep Average,76.5724,12.4255
325,23.79513931274414,2017.0, Oct Average,76.5724,12.4255
326,25.092288970947266,2017.0, Nov Average,76.5724,12.4255
327,26.490938186645508,2017.0, Dec Average,76.5724,12.4255
328,25.389820098876953,2018.0, Feb Average,76.5724,12.4255
329,23.290668487548828,2018.0, Mar Average,76.5724,12.4255
330,22.192890167236328,2018.0, Apr Average,76.5724,12.4255
331,22.294471740722656,2018.0, May Average,76.5724,12.4255
332,23.194318771362305,2018.0, Jun Average,76.5724,12.4255
333,23.193029403686523,2018.0, Jul Average,76.5724,12.4255
334,23.093029022216797,2018.0, Aug Average,76.5724,12.4255
335,21.79315948486328,2018.0, Sep Average,76.5724,12.4255
336,21.995134353637695,2018.0, Oct Average,76.5724,12.4255
337,23.794803619384766,2018.0, Nov Average,76.5724,12.4255
338,25.49228858947754,2018.0, Dec Average,76.5724,12.4255
339,26.390586853027344,2019.0, Feb Average,76.5724,12.4255
340,25.98988914489746,2019.0, Mar Average,76.5724,12.4255
341,23.490182876586914,2019.0, Apr Average,76.5724,12.4255
342,22.092639923095703,2019.0, May Average,76.5724,12.4255
343,22.594633102416992,2019.0, Jun Average,76.5724,12.4255
344,23.0938663482666,2019.0, Jul Average,76.5724,12.4255
345,23.193161010742188,2019.0, Aug Average,76.5724,12.4255
346,22.793027877807617,2019.0, Sep Average,76.5724,12.4255
347,21.79357147216797,2019.0, Oct Average,76.5724,12.4255
348,22.495136260986328,2019.0, Nov Average,76.5724,12.4255
349,23.89401626586914,2019.0, Dec Average,76.5724,12.4255
350,25.692169189453125,2020.0, Feb Average,76.5724,12.4255
351,26.290422439575195,2020.0, Mar Average,76.5724,12.4255
352,25.88996124267578,2020.0, Apr Average,76.5724,12.4255
353,23.290260314941406,2020.0, May Average,76.5724,12.4255
